# mod_name_map.tsv - auto-generated by ggpk-tools/PoeDataExtract
# source: data/balance/mods.datc64 + ModFamily (2-way join via Mods.Families[0])
# columns: mod_id	affix_name	gen_type	tier_word
# generated: 2026-05-26T10:26:47Z
ChaosResist6	of Bameth	2	IncreasedLife
IncreasedLife1	Hale	1	IncreasedLife
IncreasedLife2	Healthy	1	IncreasedLife
IncreasedLife3	Sanguine	1	IncreasedLife
IncreasedLife4	Stalwart	1	IncreasedLife
IncreasedLife5	Stout	1	IncreasedLife
IncreasedLife6	Robust	1	IncreasedLife
IncreasedLife7	Rotund	1	IncreasedLife
IncreasedLife8	Virile	1	IncreasedLife
IncreasedLife9	Athlete's	1	IncreasedLife
IncreasedLife10	Fecund	1	IncreasedLife
IncreasedLife11	Vigorous	1	IncreasedLife
IncreasedLife12	Rapturous	1	IncreasedLife
IncreasedLife13	Prime	1	IncreasedLife
MaximumLifeIncrease1	Hopeful	1	IncreasedLife
MaximumLifeIncrease2	Optimistic	1	IncreasedLife
MaximumLifeIncrease3	Confident	1	IncreasedLife
IncreasedMana1	Beryl	1	IncreasedLife
IncreasedMana2	Cobalt	1	IncreasedLife
IncreasedMana3	Azure	1	IncreasedLife
IncreasedMana4	Teal	1	IncreasedLife
IncreasedMana5	Cerulean	1	IncreasedLife
IncreasedMana6	Aqua	1	IncreasedLife
IncreasedMana7	Opalescent	1	IncreasedLife
IncreasedMana8	Gentian	1	IncreasedLife
IncreasedMana9	Chalybeous	1	IncreasedLife
IncreasedMana10	Mazarine	1	IncreasedLife
IncreasedMana11	Blue	1	IncreasedLife
IncreasedMana12	Zaffre	1	IncreasedLife
IncreasedMana13	Ultramarine	1	IncreasedLife
IncreasedManaTwoHandWeapon1	Beryl	1	IncreasedLife
IncreasedManaTwoHandWeapon2_	Cobalt	1	IncreasedLife
IncreasedManaTwoHandWeapon3_	Azure	1	IncreasedLife
IncreasedManaTwoHandWeapon4	Sapphire	1	IncreasedLife
IncreasedManaTwoHandWeapon5	Cerulean	1	IncreasedLife
IncreasedManaTwoHandWeapon6	Aqua	1	IncreasedLife
IncreasedManaTwoHandWeapon7	Opalescent	1	IncreasedLife
IncreasedManaTwoHandWeapon8_	Gentian	1	IncreasedLife
IncreasedManaTwoHandWeapon9	Chalybeous	1	IncreasedLife
IncreasedManaTwoHandWeapon10	Mazarine	1	IncreasedLife
IncreasedManaTwoHandWeapon11	Blue	1	IncreasedLife
IncreasedManaTwoHandWeapon12	Zaffre	1	IncreasedLife
MaximumManaIncrease1	Cognizant	1	IncreasedLife
MaximumManaIncrease2	Perceptive	1	IncreasedLife
MaximumManaIncrease3	Mnemonic	1	IncreasedLife
IncreasedPhysicalDamageReductionRating1	Lacquered	1	IncreasedLife
IncreasedPhysicalDamageReductionRating2	Studded	1	IncreasedLife
IncreasedPhysicalDamageReductionRating3	Ribbed	1	IncreasedLife
IncreasedPhysicalDamageReductionRating4	Fortified	1	IncreasedLife
IncreasedPhysicalDamageReductionRating5	Plated	1	IncreasedLife
IncreasedPhysicalDamageReductionRating6	Carapaced	1	IncreasedLife
IncreasedPhysicalDamageReductionRating7	Encased	1	IncreasedLife
IncreasedPhysicalDamageReductionRating8_	Enveloped	1	IncreasedLife
IncreasedPhysicalDamageReductionRating9	Abating	1	IncreasedLife
IncreasedPhysicalDamageReductionRating10	Unmoving	1	IncreasedLife
IncreasedEvasionRating1	Agile	1	IncreasedLife
IncreasedEvasionRating2	Dancer's	1	IncreasedLife
IncreasedEvasionRating3	Acrobat's	1	IncreasedLife
IncreasedEvasionRating4	Fleet	1	IncreasedLife
IncreasedEvasionRating5	Blurred	1	IncreasedLife
IncreasedEvasionRating6	Phased	1	IncreasedLife
IncreasedEvasionRating7	Vaporous	1	IncreasedLife
IncreasedEvasionRating8	Elusory	1	IncreasedLife
IncreasedEvasionRating9	Adroit	1	IncreasedLife
IncreasedEnergyShield1	Shining	1	IncreasedLife
IncreasedEnergyShield2	Glimmering	1	IncreasedLife
IncreasedEnergyShield3	Glittering	1	IncreasedLife
IncreasedEnergyShield4	Glowing	1	IncreasedLife
IncreasedEnergyShield5	Radiating	1	IncreasedLife
IncreasedEnergyShield6	Pulsing	1	IncreasedLife
IncreasedEnergyShield7	Blazing	1	IncreasedLife
IncreasedEnergyShield8	Dazzling	1	IncreasedLife
IncreasedEnergyShield9	Scintillating	1	IncreasedLife
IncreasedEnergyShield10	Incandescent	1	IncreasedLife
IncreasedPhysicalDamageReductionRatingPercent1	Reinforced	1	IncreasedLife
IncreasedPhysicalDamageReductionRatingPercent2	Layered	1	IncreasedLife
IncreasedPhysicalDamageReductionRatingPercent3	Lobstered	1	IncreasedLife
IncreasedPhysicalDamageReductionRatingPercent4	Buttressed	1	IncreasedLife
IncreasedPhysicalDamageReductionRatingPercent5	Thickened	1	IncreasedLife
IncreasedPhysicalDamageReductionRatingPercent6	Girded	1	IncreasedLife
IncreasedPhysicalDamageReductionRatingPercent7	Impregnable	1	IncreasedLife
IncreasedEvasionRatingPercent1	Shade's	1	IncreasedLife
IncreasedEvasionRatingPercent2	Ghost's	1	IncreasedLife
IncreasedEvasionRatingPercent3	Spectre's	1	IncreasedLife
IncreasedEvasionRatingPercent4	Wraith's	1	IncreasedLife
IncreasedEvasionRatingPercent5	Phantasm's	1	IncreasedLife
IncreasedEvasionRatingPercent6	Nightmare's	1	IncreasedLife
IncreasedEvasionRatingPercent7	Mirage's	1	IncreasedLife
IncreasedEnergyShieldPercent1	Protective	1	IncreasedLife
IncreasedEnergyShieldPercent2	Strong-Willed	1	IncreasedLife
IncreasedEnergyShieldPercent3	Resolute	1	IncreasedLife
IncreasedEnergyShieldPercent4	Fearless	1	IncreasedLife
IncreasedEnergyShieldPercent5	Dauntless	1	IncreasedLife
IncreasedEnergyShieldPercent6	Indomitable	1	IncreasedLife
IncreasedEnergyShieldPercent7	Unassailable	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRating1	Lacquered	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRating2	Studded	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRating3	Ribbed	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRating4	Fortified	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRating5	Plated	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRating6	Carapaced	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRating7__	Encased	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRating8	Enveloped	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRating9_	Abating	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRating10	Unmoving	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRating11	Impervious	1	IncreasedLife
LocalIncreasedEvasionRating1	Agile	1	IncreasedLife
LocalIncreasedEvasionRating2	Dancer's	1	IncreasedLife
LocalIncreasedEvasionRating3	Acrobat's	1	IncreasedLife
LocalIncreasedEvasionRating4	Fleet	1	IncreasedLife
LocalIncreasedEvasionRating5	Blurred	1	IncreasedLife
LocalIncreasedEvasionRating6	Phased	1	IncreasedLife
LocalIncreasedEvasionRating7_	Vaporous	1	IncreasedLife
LocalIncreasedEvasionRating8	Elusory	1	IncreasedLife
LocalIncreasedEvasionRating9___	Adroit	1	IncreasedLife
LocalIncreasedEvasionRating10	Lissome	1	IncreasedLife
LocalIncreasedEvasionRating11	Fugitive	1	IncreasedLife
LocalIncreasedEnergyShield1	Shining	1	IncreasedLife
LocalIncreasedEnergyShield2	Glimmering	1	IncreasedLife
LocalIncreasedEnergyShield3	Glittering	1	IncreasedLife
LocalIncreasedEnergyShield4	Glowing	1	IncreasedLife
LocalIncreasedEnergyShield5	Radiating	1	IncreasedLife
LocalIncreasedEnergyShield6	Pulsing	1	IncreasedLife
LocalIncreasedEnergyShield7	Blazing	1	IncreasedLife
LocalIncreasedEnergyShield8	Dazzling	1	IncreasedLife
LocalIncreasedEnergyShield9	Scintillating	1	IncreasedLife
LocalIncreasedEnergyShield10	Incandescent	1	IncreasedLife
LocalIncreasedEnergyShield11	Resplendent	1	IncreasedLife
LocalBaseArmourAndEvasionRating1	Supple	1	IncreasedLife
LocalBaseArmourAndEvasionRating2	Pliant	1	IncreasedLife
LocalBaseArmourAndEvasionRating3	Flexible	1	IncreasedLife
LocalBaseArmourAndEvasionRating4	Durable	1	IncreasedLife
LocalBaseArmourAndEvasionRating5	Sturdy	1	IncreasedLife
LocalBaseArmourAndEvasionRating6_	Resilient	1	IncreasedLife
LocalBaseArmourAndEvasionRating7	Adaptable	1	IncreasedLife
LocalBaseArmourAndEvasionRating8	Versatile	1	IncreasedLife
LocalBaseArmourAndEnergyShield1	Blessed	1	IncreasedLife
LocalBaseArmourAndEnergyShield2_	Anointed	1	IncreasedLife
LocalBaseArmourAndEnergyShield3	Sanctified	1	IncreasedLife
LocalBaseArmourAndEnergyShield4	Hallowed	1	IncreasedLife
LocalBaseArmourAndEnergyShield5	Beatified	1	IncreasedLife
LocalBaseArmourAndEnergyShield6	Consecrated	1	IncreasedLife
LocalBaseArmourAndEnergyShield7	Saintly	1	IncreasedLife
LocalBaseArmourAndEnergyShield8	Godly	1	IncreasedLife
LocalBaseEvasionRatingAndEnergyShield1	Will-o-wisp's	1	IncreasedLife
LocalBaseEvasionRatingAndEnergyShield2	Nymph's	1	IncreasedLife
LocalBaseEvasionRatingAndEnergyShield3	Sylph's	1	IncreasedLife
LocalBaseEvasionRatingAndEnergyShield4	Cherub's	1	IncreasedLife
LocalBaseEvasionRatingAndEnergyShield5_	Spirit's	1	IncreasedLife
LocalBaseEvasionRatingAndEnergyShield6	Eidolon's	1	IncreasedLife
LocalBaseEvasionRatingAndEnergyShield7___	Apparition's	1	IncreasedLife
LocalBaseEvasionRatingAndEnergyShield8___	Banshee's	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRatingPercent1	Reinforced	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRatingPercent2	Layered	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRatingPercent3	Lobstered	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRatingPercent4	Buttressed	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRatingPercent5	Thickened	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRatingPercent6	Girded	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRatingPercent7	Impregnable	1	IncreasedLife
LocalIncreasedPhysicalDamageReductionRatingPercent8_	Impenetrable	1	IncreasedLife
LocalIncreasedEvasionRatingPercent1	Shade's	1	IncreasedLife
LocalIncreasedEvasionRatingPercent2	Ghost's	1	IncreasedLife
LocalIncreasedEvasionRatingPercent3	Spectre's	1	IncreasedLife
LocalIncreasedEvasionRatingPercent4	Wraith's	1	IncreasedLife
LocalIncreasedEvasionRatingPercent5	Phantasm's	1	IncreasedLife
LocalIncreasedEvasionRatingPercent6	Nightmare's	1	IncreasedLife
LocalIncreasedEvasionRatingPercent7	Mirage's	1	IncreasedLife
LocalIncreasedEvasionRatingPercent8	Illusion's	1	IncreasedLife
LocalIncreasedEnergyShieldPercent1	Protective	1	IncreasedLife
LocalIncreasedEnergyShieldPercent2	Strong-Willed	1	IncreasedLife
LocalIncreasedEnergyShieldPercent3	Resolute	1	IncreasedLife
LocalIncreasedEnergyShieldPercent4	Fearless	1	IncreasedLife
LocalIncreasedEnergyShieldPercent5	Dauntless	1	IncreasedLife
LocalIncreasedEnergyShieldPercent6	Indomitable	1	IncreasedLife
LocalIncreasedEnergyShieldPercent7_	Unassailable	1	IncreasedLife
LocalIncreasedEnergyShieldPercent8	Unfaltering	1	IncreasedLife
LocalIncreasedArmourAndEvasion1	Scrapper's	1	IncreasedLife
LocalIncreasedArmourAndEvasion2	Brawler's	1	IncreasedLife
LocalIncreasedArmourAndEvasion3	Fencer's	1	IncreasedLife
LocalIncreasedArmourAndEvasion4	Gladiator's	1	IncreasedLife
LocalIncreasedArmourAndEvasion5	Duelist's	1	IncreasedLife
LocalIncreasedArmourAndEvasion6	Hero's	1	IncreasedLife
LocalIncreasedArmourAndEvasion7	Legend's	1	IncreasedLife
LocalIncreasedArmourAndEvasion8	Victor's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShield1	Infixed	1	IncreasedLife
LocalIncreasedArmourAndEnergyShield2	Ingrained	1	IncreasedLife
LocalIncreasedArmourAndEnergyShield3	Instilled	1	IncreasedLife
LocalIncreasedArmourAndEnergyShield4	Infused	1	IncreasedLife
LocalIncreasedArmourAndEnergyShield5	Inculcated	1	IncreasedLife
LocalIncreasedArmourAndEnergyShield6	Interpolated	1	IncreasedLife
LocalIncreasedArmourAndEnergyShield7	Inspired	1	IncreasedLife
LocalIncreasedArmourAndEnergyShield8	Interpermeated	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShield1	Shadowy	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShield2	Ethereal	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShield3	Unworldly	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShield4	Ephemeral	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShield5_	Evanescent	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShield6	Unreal	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShield7	Illusory	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShield8	Incorporeal	1	IncreasedLife
LocalArmourAndStunThreshold1	Beetle's	1	IncreasedLife
LocalArmourAndStunThreshold2	Crab's	1	IncreasedLife
LocalArmourAndStunThreshold3	Armadillo's	1	IncreasedLife
LocalArmourAndStunThreshold4	Rhino's	1	IncreasedLife
LocalArmourAndStunThreshold5	Elephant's	1	IncreasedLife
LocalArmourAndStunThreshold6	Mammoth's	1	IncreasedLife
LocalEvasionAndStunThreshold1	Mosquito's	1	IncreasedLife
LocalEvasionAndStunThreshold2	Moth's	1	IncreasedLife
LocalEvasionAndStunThreshold3	Butterfly's	1	IncreasedLife
LocalEvasionAndStunThreshold4	Wasp's	1	IncreasedLife
LocalEvasionAndStunThreshold5	Dragonfly's	1	IncreasedLife
LocalEvasionAndStunThreshold6	Hummingbird's	1	IncreasedLife
LocalEnergyShieldAndStunThreshold1	Pixie's	1	IncreasedLife
LocalEnergyShieldAndStunThreshold2	Gremlin's	1	IncreasedLife
LocalEnergyShieldAndStunThreshold3	Boggart's	1	IncreasedLife
LocalEnergyShieldAndStunThreshold4	Naga's	1	IncreasedLife
LocalEnergyShieldAndStunThreshold5	Djinn's	1	IncreasedLife
LocalEnergyShieldAndStunThreshold6	Seraphim's	1	IncreasedLife
LocalArmourAndEvasionAndStunThreshold1	Captain's	1	IncreasedLife
LocalArmourAndEvasionAndStunThreshold2	Commander's	1	IncreasedLife
LocalArmourAndEvasionAndStunThreshold3	Magnate's	1	IncreasedLife
LocalArmourAndEvasionAndStunThreshold4	Marshal's	1	IncreasedLife
LocalArmourAndEvasionAndStunThreshold5	General's	1	IncreasedLife
LocalArmourAndEvasionAndStunThreshold6	Warlord's	1	IncreasedLife
LocalArmourAndEnergyShieldAndStunThreshold1	Defender's	1	IncreasedLife
LocalArmourAndEnergyShieldAndStunThreshold2	Protector's	1	IncreasedLife
LocalArmourAndEnergyShieldAndStunThreshold3	Keeper's	1	IncreasedLife
LocalArmourAndEnergyShieldAndStunThreshold4	Guardian's	1	IncreasedLife
LocalArmourAndEnergyShieldAndStunThreshold5	Warden's	1	IncreasedLife
LocalArmourAndEnergyShieldAndStunThreshold6	Sentinel's	1	IncreasedLife
LocalEvasionAndEnergyShieldAndStunThreshold1	Intuitive	1	IncreasedLife
LocalEvasionAndEnergyShieldAndStunThreshold2	Psychic	1	IncreasedLife
LocalEvasionAndEnergyShieldAndStunThreshold3	Telepath's	1	IncreasedLife
LocalEvasionAndEnergyShieldAndStunThreshold4	Illusionist's	1	IncreasedLife
LocalEvasionAndEnergyShieldAndStunThreshold5	Mentalist's	1	IncreasedLife
LocalEvasionAndEnergyShieldAndStunThreshold6	Trickster's	1	IncreasedLife
LocalIncreasedArmourAndLife1	Oyster's	1	IncreasedLife
LocalIncreasedArmourAndLife2	Lobster's	1	IncreasedLife
LocalIncreasedArmourAndLife3	Urchin's	1	IncreasedLife
LocalIncreasedArmourAndLife4	Nautilus'	1	IncreasedLife
LocalIncreasedArmourAndLife5	Octopus'	1	IncreasedLife
LocalIncreasedArmourAndLife6	Crocodile's	1	IncreasedLife
LocalIncreasedEvasionAndLife1	Flea's	1	IncreasedLife
LocalIncreasedEvasionAndLife2	Fawn's	1	IncreasedLife
LocalIncreasedEvasionAndLife3	Mouflon's	1	IncreasedLife
LocalIncreasedEvasionAndLife4	Ram's	1	IncreasedLife
LocalIncreasedEvasionAndLife5	Ibex's	1	IncreasedLife
LocalIncreasedEvasionAndLife6	Stag's	1	IncreasedLife
LocalIncreasedEnergyShieldAndLife1	Monk's	1	IncreasedLife
LocalIncreasedEnergyShieldAndLife2	Prior's	1	IncreasedLife
LocalIncreasedEnergyShieldAndLife3	Abbot's	1	IncreasedLife
LocalIncreasedEnergyShieldAndLife4	Bishop's	1	IncreasedLife
LocalIncreasedEnergyShieldAndLife5	Exarch's	1	IncreasedLife
LocalIncreasedEnergyShieldAndLife6	Pope's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndLife1	Bully's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndLife2	Thug's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndLife3	Brute's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndLife4	Assailant's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndLife5	Aggressor's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndLife6	Predator's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndLife1	Augur's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndLife2	Auspex's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndLife3	Druid's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndLife4	Haruspex's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndLife5	Visionary's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndLife6	Prophet's	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndLife1	Poet's	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndLife2	Musician's	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndLife3	Troubadour's	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndLife4	Bard's	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndLife5	Minstrel's	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndLife6	Maestro's	1	IncreasedLife
LocalIncreasedArmourAndMana1	Imposing	1	IncreasedLife
LocalIncreasedArmourAndMana2	Venerable	1	IncreasedLife
LocalIncreasedArmourAndMana3	Regal	1	IncreasedLife
LocalIncreasedArmourAndMana4	Colossal	1	IncreasedLife
LocalIncreasedArmourAndMana5	Chieftain's	1	IncreasedLife
LocalIncreasedArmourAndMana6	Ancestral	1	IncreasedLife
LocalIncreasedEvasionAndMana1	Nomad's	1	IncreasedLife
LocalIncreasedEvasionAndMana2	Drifter's	1	IncreasedLife
LocalIncreasedEvasionAndMana3	Traveller's	1	IncreasedLife
LocalIncreasedEvasionAndMana4	Explorer's	1	IncreasedLife
LocalIncreasedEvasionAndMana5	Wayfarer's	1	IncreasedLife
LocalIncreasedEvasionAndMana6	Wanderer's	1	IncreasedLife
LocalIncreasedEnergyShieldAndMana1	Imbued	1	IncreasedLife
LocalIncreasedEnergyShieldAndMana2	Serene	1	IncreasedLife
LocalIncreasedEnergyShieldAndMana3	Sacred	1	IncreasedLife
LocalIncreasedEnergyShieldAndMana4	Celestial	1	IncreasedLife
LocalIncreasedEnergyShieldAndMana5	Heavenly	1	IncreasedLife
LocalIncreasedEnergyShieldAndMana6	Angel's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndMana1	Rhoa's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndMana2	Rhex's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndMana3	Chimeral's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndMana4	Bull's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndMana5	Minotaur's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndMana6	Cerberus'	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndMana1	Coelacanth's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndMana2	Swordfish's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndMana3	Shark's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndMana4	Dolphin's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndMana5	Orca's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndMana6	Whale's	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndMana1	Vulture's	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndMana2	Kingfisher's	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndMana3	Owl's	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndMana4	Hawk's	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndMana5	Eagle's	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndMana6	Falcon's	1	IncreasedLife
LocalIncreasedArmourAndBase1	Abalone's	1	IncreasedLife
LocalIncreasedArmourAndBase2	Snail's	1	IncreasedLife
LocalIncreasedArmourAndBase3	Tortoise's	1	IncreasedLife
LocalIncreasedArmourAndBase4	Pangolin's	1	IncreasedLife
LocalIncreasedArmourAndBase5	Shelled	1	IncreasedLife
LocalIncreasedArmourAndBase6	Hardened	1	IncreasedLife
LocalIncreasedEvasionAndBase1	Impala's	1	IncreasedLife
LocalIncreasedEvasionAndBase2	Buck's	1	IncreasedLife
LocalIncreasedEvasionAndBase3	Moose's	1	IncreasedLife
LocalIncreasedEvasionAndBase4	Deer's	1	IncreasedLife
LocalIncreasedEvasionAndBase5	Caribou's	1	IncreasedLife
LocalIncreasedEvasionAndBase6	Antelope's	1	IncreasedLife
LocalIncreasedEnergyShieldAndBase1	Deacon's	1	IncreasedLife
LocalIncreasedEnergyShieldAndBase2	Cardinal's	1	IncreasedLife
LocalIncreasedEnergyShieldAndBase3	Priest's	1	IncreasedLife
LocalIncreasedEnergyShieldAndBase4	High Priest's	1	IncreasedLife
LocalIncreasedEnergyShieldAndBase5	Archon's	1	IncreasedLife
LocalIncreasedEnergyShieldAndBase6	Divine	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndBase1	Swordsman's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndBase2	Fighter's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndBase3	Veteran's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndBase4	Warrior's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndBase5	Knight's	1	IncreasedLife
LocalIncreasedArmourAndEvasionAndBase6	Centurion's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndBase1	Faithful	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndBase2	Noble's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndBase3	Inquisitor's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndBase4	Crusader's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndBase5	Paladin's	1	IncreasedLife
LocalIncreasedArmourAndEnergyShieldAndBase6	Grand	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndBase1	Pursuer's	1	IncreasedLife
LocalIncreasedEvasionAndEnergyShieldAndBase2	Tracker's	1	IncreasedLife
