metadata_path	display_name
Metadata/Monsters/Daemon/Player/LightningCloneRetaliationDaemon2	Daemon
Metadata/Monsters/Clone/MarauderLightningClone	Clone
Metadata/Monsters/Clone/WarriorLightningClone	Clone
Metadata/Monsters/Clone/RangerLightningClone	Clone
Metadata/Monsters/Clone/HuntressLightningClone	Clone
Metadata/Monsters/Clone/WitchLightningClone	Clone
Metadata/Monsters/Clone/SorceressLightningClone	Clone
Metadata/Monsters/Clone/DuelistLightningClone	Clone
Metadata/Monsters/Clone/MercenaryLightningClone	Clone
Metadata/Monsters/Clone/TemplarLightningClone	Clone
Metadata/Monsters/Clone/DruidLightningClone	Clone
Metadata/Monsters/Clone/ShadowLightningClone__	Clone
Metadata/Monsters/Clone/MonkLightningClone__	Clone
Metadata/Monsters/MirageWarrior/MirageWarriorMarauder	Mirage Saviour
Metadata/Monsters/MirageWarrior/MirageWarriorRanger	Mirage Saviour
Metadata/Monsters/MirageWarrior/MirageWarriorWitch	Mirage Saviour
Metadata/Monsters/MirageWarrior/MirageWarriorDuelist	Mirage Saviour
Metadata/Monsters/MirageWarrior/MirageWarriorTemplar	Mirage Saviour
Metadata/Monsters/MirageWarrior/MirageWarriorShadow	Mirage Saviour
Metadata/Monsters/VolatileCore/VolatileDeadCoreVoid	Volatile Core
Metadata/Monsters/VolatileCore/VolatileDeadCoreDarkwood_	Volatile Core
Metadata/Monsters/CrowBell/CrowBellBoss_	The Crowbell
Metadata/Monsters/CrowBell/CrowBellBossMap_	The Black Crow
Metadata/Monsters/CrowBell/CrowBellBossSTANDALONE	The Black Crow
Metadata/Monsters/Wraith/WraithSpookyCold	Frost Wraith
Metadata/Monsters/Wraith/WraithSpookyColdSpectre	Frost Wraith
Metadata/Monsters/Wraith/WraithSpookyColdSanctumTrialTime	Frost Wraith
Metadata/Monsters/Wraith/WraithSpookyColdStrongbox_	Frost Wraith
Metadata/Monsters/Wraith/WraithSpookyLightning	Lightning Wraith
Metadata/Monsters/Wraith/WraithSpookyLightningSpectre	Lightning Wraith
Metadata/Monsters/Wraith/WraithSpookyLightningStrongbox	Lightning Wraith
Metadata/Monsters/GuillotineExecutioner/GuillotineExecutioner	The Executioner
Metadata/Monsters/GuillotineExecutioner/GuillotineExecutionerMap	Incarnation of Death
Metadata/Monsters/GuillotineExecutioner/GuillotineExecutionerCRUEL	The Executioner
Metadata/Monsters/GuillotineExecutioner/GuillotineExecutionerSTANDALONE	Incarnation of Death
Metadata/Monsters/TheCountsGuardEliteCorruptedMageLessCorrupted/CorruptedEliteGuard	Iron Thaumaturgist
Metadata/Monsters/TheCountsEliteGuardCorrupted/VariantB/CorruptedEliteToothy	Iron Guard
Metadata/Monsters/TheCountsEliteGuardCorrupted/VariantA/CorruptedEliteSpear_	Iron Spearman
Metadata/Monsters/TheCountsEliteGuardCorrupted/Ranged/CorruptedEliteRanger_	Iron Sharpshooter
Metadata/Monsters/TheCountsEliteGuardCorrupted/Ranged/MoveDaemonLaser	Invisible
Metadata/Monsters/TheCountsEliteGuardCorrupted/MeleeVariantB/CorruptedEliteBloater	Iron Enforcer
Metadata/Monsters/MudBurrower/MudBurrowerHeadBoss	The Devourer
Metadata/Monsters/MudBurrower/MudBurrowerHeadBossMAP_	Gorian, the Moving Earth
Metadata/Monsters/MudBurrower/MudBurrowerHeadBossMAP2__	Gorian, the Moving Earth
Metadata/Monsters/MudBurrower/MudBurrowerHeadBossMAP_clone_	Gorian, the Moving Earth
Metadata/Monsters/MudBurrower/MudBurrowerHeadBossSTANDALONE	Gorian, the Moving Earth
Metadata/Monsters/MudBurrower/MudBurrowerHeadTrap	The Devourer
Metadata/Monsters/MudBurrower/MudBurrowerHeadTrap2	The Devourer
Metadata/Monsters/MudBurrower/MudBurrowerTailBoss_	The Devourer
Metadata/Monsters/MudBurrower/MudBurrowerBodyDaemon	Daemon
Metadata/Monsters/FungusZombie/FungusZombieMedium	Fungal Zombie
Metadata/Monsters/FungusZombie/FungusZombieLarge	Fungal Zombie
Metadata/Monsters/FungusZombie/FungusZombieFungalmancer	Fungal Proliferator
Metadata/Monsters/MudGolem/MudGolem	Mud Simulacrum
Metadata/Monsters/MudGolem/MudGolemWet1	Mud Simulacrum
Metadata/Monsters/MudGolem/MudGolemWetEmerge1	Mud Simulacrum
Metadata/Monsters/MudGolem/MudGolemWetEncased1	Mud Simulacrum
Metadata/Monsters/MudGolem/SandGolem	Living Sand
Metadata/Monsters/MudGolem/SandGolemStrongbox	Living Sand
Metadata/Monsters/MudGolem/SandGolemHidden__	Living Sand
Metadata/Monsters/SwollenMiller/SwollenMillerBoss	The Bloated Miller
Metadata/Monsters/SwollenMiller/SwollenMillerBossMAP	Tierney, the Hateful
Metadata/Monsters/SwollenMiller/SwollenMillerBossMAPDuo_	Murtagh, the Engorged
Metadata/Monsters/SwollenMiller/SwollenMillerBossMAPDuo2_	Colm, the Rancorous
Metadata/Monsters/SwollenMiller/SwollenMillerBossSTANDALONE	Tierney, the Hateful
Metadata/Monsters/NPC/BitterGuy	Lachlann, Ezomyte Rebel
Metadata/Monsters/NPC/BitterGuyMap	Lachlann, Ezomyte Rebel
Metadata/Monsters/NPC/BitterGuyHuman	Lachlann, Ezomyte Rebel
Metadata/Monsters/BitterGuy/BitterGuyBoss	Lachlann of Endless Lament
Metadata/Monsters/BitterGuy/BitterGuyBossCRUEL	Lachlann of Endless Lament
Metadata/Monsters/BitterGuy/BitterGuyBossMap	Connal, the Tormented
Metadata/Monsters/BitterGuy/BitterGuyBossSTANDALONE	Connal, the Tormented
Metadata/Monsters/BitterGuy/BitterGuyWifeGhost	Isabel, Mourning Wife
Metadata/Monsters/BitterGuy/BitterGuyWifeChasingDaemon	Daemon
Metadata/Monsters/BitterGuy/BitterGuyWifeSurge	Isabel, Mourning Wife
Metadata/Monsters/BitterGuy/BitterGuyChild1Surge_	Calum, Weeping Child
Metadata/Monsters/BitterGuy/BitterGuyChild2Surge	Torcall, Sobbing Child
Metadata/Monsters/QuillCrab/QuillCrab	Porcupine Crab
Metadata/Monsters/QuillCrab/QuillCrabBig	Porcupine Crab
Metadata/Monsters/QuillCrab/QuillCrabBigElite	Porcupine Crab
Metadata/Monsters/QuillCrab/QuillCrabPoison	Venomous Crab
Metadata/Monsters/QuillCrab/QuillCrabBigPoison_	Venomous Crab Matriarch
Metadata/Monsters/QuillCrab/QuillCrabBigPoisonElite	Venomous Crab Matriarch
Metadata/Monsters/QuillCrab/QuillCrabTropical	Quill Crab
Metadata/Monsters/QuillCrab/QuillCrabBigTropical	Quill Crab
Metadata/Monsters/Zombies/Lumberjack/LumberingDrownedUnarmed	Drowned
Metadata/Monsters/Zombies/Lumberjack/LumberingDrownedUnarmedPhysics	Drowned
Metadata/Monsters/Zombies/Lumberjack/LumberingDrownedOneHandAxe	Drowned
Metadata/Monsters/Zombies/Lumberjack/LumberingDrownedOneHandAxePhysics	Drowned
Metadata/Monsters/Zombies/Lumberjack/LumberingDrownedUnarmedHighAggroRangeMiller	Drowned
Metadata/Monsters/Zombies/Lumberjack/LumberingDrownedUnarmedPhysicsHighAggroRangeMiller	Drowned
Metadata/Monsters/Zombies/Lumberjack/LumberingDrownedOneHandAxeHighAggroRangeMiller	Drowned
Metadata/Monsters/Zombies/Lumberjack/LumberingDrownedOneHandAxePhysicsHighAggroRangeMiller	Drowned
Metadata/Monsters/Zombies/Lumberjack/LumberingDrownedDryUnarmed	Lumbering Dead
Metadata/Monsters/Zombies/Lumberjack/LumberingDrownedDryUnarmedPhysics	Lumbering Dead
Metadata/Monsters/Zombies/Lumberjack/LumberingDrownedDryOneHandAxe	Lumbering Dead
Metadata/Monsters/Zombies/Lumberjack/LumberingDrownedDryOneHandAxePhysics__	Lumbering Dead
Metadata/Monsters/Urchins/SlingUrchin1	Vile Imp
Metadata/Monsters/Urchins/MeleeUrchin1	Vile Imp
Metadata/Monsters/Hags/UrchinHag1	Vile Hag
Metadata/Monsters/Hags/UrchinHagBoss	Beira of the Rotten Pack
Metadata/Monsters/Hags/UrchinHagBossMap	Riona, Winter's Cackle
Metadata/Monsters/Hags/UrchinHagBossSTANDALONE	Riona, Winter's Cackle
Metadata/Monsters/Hags/UrchinHagBossHagBattleMap	Gelida, the Frost-Tongue
Metadata/Monsters/Hags/UrchinHagBossHagBattleMap2	Rael, the Frost Hand
Metadata/Monsters/Hags/UrchinHagBossHagBattleInterlude	Isolde of the White Shroud
Metadata/Monsters/Hags/TrenchHag	River Hag
Metadata/Monsters/Skeletons/FungalSkeletonOneHandSword	Fungal Rattler
Metadata/Monsters/Skeletons/FungalSkeletonOneHandSwordShield	Fungal Rattler
Metadata/Monsters/Skeletons/FungalZombieOneHandSword	Fungal Rattler
Metadata/Monsters/Skeletons/FungalZombieOneHandSwordShield	Fungal Rattler
Metadata/Monsters/Skeletons/RetchSkeletonOneHandSword	Wretched Rattler
Metadata/Monsters/Skeletons/RetchSkeletonOneHandSwordShield	Wretched Rattler
Metadata/Monsters/HuhuGrub/HuhuGrubLarvae	Flesh Larva
Metadata/Monsters/HuhuGrub/HuhuGrubLarvaeSpectre	Flesh Larva
Metadata/Monsters/HuhuGrub/HuhuGrubLarvaeRanged1	Flesh Larva
Metadata/Monsters/HuhuGrub/HuhuGrubLarvaeRanged1Spectre	Flesh Larva
Metadata/Monsters/HuhuGrub/HuhuGrubLarvaeRangedLandmark1	The Brood Queen
Metadata/Monsters/HuhuGrub/HuhuGrubLarvaeEmerge1	Flesh Larva
Metadata/Monsters/HuhuGrub/HuhuGrubLarvaeEmergeSummoned1_	Flesh Larva
Metadata/Monsters/Werewolves/WerewolfPack1	Pack Werewolf
Metadata/Monsters/Werewolves/WerewolfPackStrongbox_	Pack Werewolf
Metadata/Monsters/Werewolves/WerewolfMoonClan1	Voracious Werewolf
Metadata/Monsters/Werewolves/WerewolfPackHuntingGrounds	Pack Werewolf
Metadata/Monsters/Werewolves/WerewolfMoonClanHuntingGrounds	Voracious Werewolf
Metadata/Monsters/Werewolves/WerewolfProwler1	Werewolf Prowler
Metadata/Monsters/Werewolves/WerewolfProwlerStrongbox	Werewolf Prowler
Metadata/Monsters/Werewolves/WerewolfProwlerRed1	Tendril Prowler
Metadata/Monsters/Stalker/Stalker	Hungering Stalker
Metadata/Monsters/Stalker/StalkerStrongbox	Hungering Stalker
Metadata/Monsters/RustKing/TheRustKingBoss	The Rust King
Metadata/Monsters/RustKing/TheRustKingBossMAP	Gozen, Rebellious Rustlord
Metadata/Monsters/RustKing/TheRustKingBossSTANDALONE	Gozen, Rebellious Rustlord
Metadata/Monsters/BloodMonsters/BloodCourtesan1	Courtesan
Metadata/Monsters/BloodMonsters/BloodCourtesanStrongbox	Courtesan
Metadata/Monsters/BloodMonsters/BloodCarrier1	Blood Carrier
Metadata/Monsters/BloodMonsters/BloodCretin1	Blood Cretin
Metadata/Monsters/BloodMonsters/BloodCretinStrongbox	Blood Cretin
Metadata/Monsters/BloodMonsters/BloodCollector1__	Blood Collector
Metadata/Monsters/Knight/DeathKnight1	Death Knight
Metadata/Monsters/Knight/DeathKnightNecropolis	Death Knight
Metadata/Monsters/Knight/DeathKnightNecropolisStrongbox	Death Knight
Metadata/Monsters/Knight/DeathKnightNecropolisElite	Death Knight
Metadata/Monsters/Knight/DeathKnightNecropolisEliteStrongbox	Death Knight
Metadata/Monsters/Gargoyle/GargoyleGolemRed	Gargoyle Demon
Metadata/Monsters/Mercenary/Infected/InfectedMercenaryAxe__	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenarySword	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenaryAxeAxe	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenarySwordSword_	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenaryCrossbow	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenaryCrossbowIncin	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenarySwordTorchIncin	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenaryMaulIncin	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenaryAxeIncin	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenaryCrossbowExecutionerMinion	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenaryCrossbowExecutionerMinionSTANDALONE	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenaryAxeShieldExecutionerMinion	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenaryAxeShieldExecutionerMinion_STANDALONE	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenaryAxeAxeExecutionerMinion	Decrepit Mercenary
Metadata/Monsters/Mercenary/Infected/InfectedMercenaryAxeAxeExecutionerMinionSTANDALONE	Decrepit Mercenary
Metadata/Monsters/Crow/CrowCarrion	Rotting Crow
Metadata/Monsters/BrambleHulk/BrambleHulk1	Bramble Hulk
Metadata/Monsters/Ghouls/GhoulCommander	Ghoul Commander
Metadata/Monsters/Ghouls/GhoulCommanderStrongbox	Ghoul Commander
Metadata/Monsters/ChimeraWetlandsBoss/ChimeraWetlandsBoss	Xyclucian, the Chimera
Metadata/Monsters/ChimeraWetlandsBoss/ChimeraWetlandsBossSTANDALONE	Xilozoma, the Maw-Beast
Metadata/Monsters/ChimeraWetlandsBoss/ChimeraWetlandsBossSTANDALONEExpedition	Xilozoma, the Maw-Beast
Metadata/Monsters/ChimeraWetlandsBoss/ChimeraWetlandsPillar	Stone Pillar
Metadata/Monsters/Ultimatum/ChimeraUltimatumBoss__	Uxmal, the Beastlord
Metadata/Monsters/Ultimatum/ChimeraUltimatumBossMap	Gressor-Kul, the Apex
Metadata/Monsters/Ultimatum/ChimeraUltimatumBossStandalone	Gressor-Kul, the Apex
Metadata/Monsters/Bird/MutantBird	Scourge of the Skies
Metadata/Monsters/Bird/MutantBirdDog	Flesh Pup
Metadata/Monsters/Bird2/MutantBird2	Chetza, the Feathered Plague
Metadata/Monsters/Bird2/MutantBird2NOUltimatum	Scourge of the Skies
Metadata/Monsters/Bird2/MutantBird2Map	Chetza, the Feathered Plague
Metadata/Monsters/Bird2/MutantBird2Standalone	Chetza, the Feathered Plague
Metadata/Monsters/Bird2/MutantBirdDog2_	Plagueling
Metadata/Monsters/Bird2/MutantBirdDog2_Standalone	Plagueling
Metadata/Monsters/Hatchling/Hatchling	Hatchling
Metadata/Monsters/Ghouls/Ghoul	Skulking Ghoul
Metadata/Monsters/Ghouls/GhoulStrongbox	Skulking Ghoul
Metadata/Monsters/Skeletons/Rusted/RustedSkeletonOneHandSwordShield	Rust Skeleton
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonUnarmedSnakeBossMinion	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonUnarmed	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandAxeNoArmour_	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandAxeClothArmour	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandAxeMediumArmour	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandAxeHeavyArmour	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandSwordNoArmour	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandSwordClothArmour	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandSwordMediumArmour	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandSwordShieldMediumArmour	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandSwordShieldHeavyArmour	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandSwordShieldHeavyArmourSanctumTrial	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonUnarmedStrongbox	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandAxeNoArmourStrongbox	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandAxeClothArmourStrongbox	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandAxeMediumArmourStrongbox	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandSwordNoArmourStrongbox	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandSwordClothArmourStrongbox	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonOneHandSwordMediumArmourStrongbox	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonBow	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonCrossbow	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonBowStrongbox	Risen Maraketh
Metadata/Monsters/Skeletons/Maraketh/MarakethSkeletonCrossbowStrongbox	Risen Maraketh
Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierOneHandSword	Ancient Ezomyte
Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierOneHandSwordStrongbox	Ancient Ezomyte
Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierOneHandSwordShield	Ancient Ezomyte
Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierOneHandSwordShieldStrongbox	Ancient Ezomyte
Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierCrossbow	Ancient Ezomyte
Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierCrossbowStrongbox	Ancient Ezomyte
Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierBow	Ancient Ezomyte
Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierBowStrongbox	Ancient Ezomyte
Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierOneHandSwordQuest	Ancient Ezomyte
Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierOneHandSwordShieldQuest	Ancient Ezomyte
Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierBowQuest	Ancient Ezomyte
Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierOneHandSwordBoss	Ancient Ezomyte
Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierOneHandSwordShieldBoss_	Ancient Ezomyte
Metadata/Monsters/Zombies/Fungal/FungalArtillery1__	Fungal Artillery
Metadata/Monsters/Wretches/CoffinWretch1	Undertaker
Metadata/Monsters/Wretches/StatueWretch	Burdened Wretch
Metadata/Monsters/Wretches/StatueWretchElite	Bearer of Penitence
Metadata/Monsters/Frog/PaleFrog1	Maw Demon
Metadata/Monsters/BoneStalker/TombStalker1	Bone Stalker
Metadata/Monsters/Sentinels/TendrilSentinel1__	Tendril Sentinel
Metadata/Monsters/Wolves/Wolf1	Hungry Wolf
Metadata/Monsters/Wolves/RottenWolf1_	Rotten Wolf
Metadata/Monsters/Wolves/RottenWolfHagSummoned	Rotten Wolf
Metadata/Monsters/Wolves/RottenWolfHagSummonedDead	Rotten Wolf
Metadata/Monsters/Wolves/RottenWolfDead	Rotten Wolf
Metadata/Monsters/Wolves/FungalWolf1_	Fungal Wolf
Metadata/Monsters/Skeletons/Basic/GraveSkeletonUnarmed	Risen Rattler
Metadata/Monsters/Skeletons/Basic/GraveSkeletonUnarmedHusbandWife	Risen Rattler
Metadata/Monsters/Skeletons/Basic/GraveSkeletonUnarmedStance2	Risen Rattler
Metadata/Monsters/Skeletons/Basic/GraveSkeletonUnarmedStrongbox	Risen Rattler
Metadata/Monsters/Skeletons/Basic/GraveSkeletonOneHandSword__	Risen Rattler
Metadata/Monsters/Skeletons/Basic/GraveSkeletonOneHandSwordHusbandWife	Risen Rattler
Metadata/Monsters/Skeletons/Basic/GraveSkeletonOneHandSwordStrongbox	Risen Rattler
Metadata/Monsters/Skeletons/Basic/GraveSkeletonOneHandSwordShield	Risen Rattler
