# map_mod_list.tsv - auto-generated by ggpk-tools/PoeDataExtract
# source: data/balance/mods.datc64 filtered by Domain == 5 (AREA)
# columns: mod_id	affix_name	gen_type	mod_family	level	stat_ids	stat_values	tooltip
# generated: 2026-06-09T22:11:55Z
StrongboxChestAdditionalExceptionalMartialWeapons2	of the Greater Exceptional Warrior	2	IncreasedLife	75	drop_additional_exceptional_martial_weapons	2..3	Contains an additional Exceptional Martial Weapon
StrongboxChestAdditionalExceptionalCasterWeapons2	of the Greater Exceptional Mage	2	IncreasedLife	75	drop_additional_exceptional_caster_weapons	2..3	Contains an additional Exceptional Caster Weapon
StrongboxChestAdditionalExceptionalArmours2	of the Greater Exceptional Armourer	2	IncreasedLife	75	drop_additional_exceptional_armours	2..3	Contains an additional Exceptional Armour Item
StrongboxChestRarityAndMonsterRarity2	of Monstrous Treasures	2	IncreasedLife	1	chest_item_rarity_+%_final_from_mod,strongbox_monster_from_league_item_rarity_+%_permyriad	60..100,6000..10000	(60-100)% more Rarity of Contained Items · (6000-10000)% increased Rarity of Items Dropped from Strongbox Monsters
StrongboxChestQuantityAndMonsterEffectiveness2	of Monstrous Bounty	2	IncreasedLife	1	chest_item_quantity_+%_final_from_mod,strongbox_monster_potency_+%	25..50,25..50	(25-50)% more Quantity of Contained Items · (25-50)% increased Effectiveness of Strongbox Monsters
StrongboxChestAdditionalRunes2	of Greater Runic Power	2	IncreasedLife	5	drop_additional_runes	5..7	Contains (5-7) additional Rune
StrongboxChestAdditionalSanctumKey2	of the Greater Barya	2	IncreasedLife	24	drop_additional_sanctum_key	3	Contains 3 additional Djinn Barya
StrongboxChestAdditionalUltimatumKey2	of the Greater Trials	2	IncreasedLife	39	drop_additional_ultimatum_key	3	Contains 3 additional Inscribed Ultimatum
StrongboxChestAdditionalSpecialTowerAugment2	of Greater Inscription	2	IncreasedLife	65	drop_additional_special_tower_augment	3	Contains 3 additional Unusual Tablet
ChestSummonSkeletons	Ossified	1	IncreasedLife	2	chest_delay_drops_until_daemons_finish,chest_display_summons_skeletons	1,1	Summons Skeletons
ChestFreeze	Arctic	1	IncreasedLife	8	chest_display_freeze,chest_item_rarity_+%_final_from_mod	1,10..20	Freezes you when activated · (10-20)% more Rarity of Contained Items
ChestIceNova	Frigid	1	IncreasedLife	1	chest_play_warning_sound,chest_display_ice_nova	1,1	Casts Ice Nova
ChestSummonRares	Menacing	1	IncreasedLife	35	chest_delay_drops_until_daemons_finish,number_of_additional_rare_packs_to_summon	1,1..2	Guarded by a pack of Rare Monsters
ChestSummonMagics	Intimidating	1	IncreasedLife	10	chest_delay_drops_until_daemons_finish,number_of_additional_magic_packs_to_summon	1,2..4	Guarded by a pack of Magic Monsters
ChestSummonNormals	Crowded	1	IncreasedLife	1	chest_delay_drops_until_daemons_finish,number_of_additional_normal_packs_to_summon	1,4..8	Guarded by a pack of Monsters
ChestSummonStrongboxImplicit		3	IncreasedLife	1	chest_delay_drops_until_daemons_finish,summoned_monster_rarity,number_of_packs_to_summon	1,0,5..10	Guarded by a Magic Monster · Guarded by a Magic Monster
ChestSummonStrongboxImplicitLow		3	IncreasedLife	1	chest_delay_drops_until_daemons_finish,summoned_monster_rarity,number_of_packs_to_summon	1,0,3..6	Guarded by a Magic Monster · Guarded by a Magic Monster
ChestSummonStrongboxImplicitHigh		3	IncreasedLife	1	chest_delay_drops_until_daemons_finish,summoned_monster_rarity,number_of_packs_to_summon	1,0,6..12	Guarded by a Magic Monster · Guarded by a Magic Monster
ChestSummonStrongboxImplicitRares		3	IncreasedLife	1	chest_delay_drops_until_daemons_finish,summoned_monster_rarity,number_of_packs_to_summon	1,2,4..6	Guarded by a Magic Monster · Guarded by a Magic Monster
ChestSummonStrongboxImplicitRareRobot		3	IncreasedLife	1	strongbox_robot_rare_guard_implicit,chest_delay_drops_until_daemons_finish	1,1	Dormant Construct
ChestStrongboxSummonVaalMonstersImplicit		3	IncreasedLife	1	chest_delay_drops_until_daemons_finish,summoned_monster_rarity,number_of_packs_to_summon	1,0,30..40	Guarded by a Magic Monster · Guarded by a Magic Monster
ChestStrongboxSummonCorruptionMonstersImplicit		3	IncreasedLife	1	chest_delay_drops_until_daemons_finish,summoned_monster_rarity,number_of_packs_to_summon	1,0,10..20	Guarded by a Magic Monster · Guarded by a Magic Monster
ChestStrongboxSummonAbyssalMonstersImplicit		3	IncreasedLife	1	chest_delay_drops_until_daemons_finish,summoned_monster_rarity,number_of_packs_to_summon	1,0,4..8	Guarded by a Magic Monster · Guarded by a Magic Monster
ChestSummonUseStaticSpawns		3	IncreasedLife	1	strongbox_use_static_spawns	1	
ChestStrongboxReviveSingleMonster		3	IncreasedLife	1	chest_revive_single_monster_num_times_display,chest_delay_drops_until_daemons_finish	3..6,1	Revives the fallen monster (3-6) times\nFallen monster gains an additional Modifier each time it revives
ChestSpawnRogueExile	Contested	1	IncreasedLife	12	chest_spawn_rogue_exiles	1	Guarded by a Rogue Exile
ChestReviveMonsters	Reaper's	1	IncreasedLife	1	chest_display_revive_nearby_monsters	1	Revives nearby dead Monsters with Onslaught
ChestSpawnContinuousMonsters	Rallying	1	IncreasedLife	35	chest_display_spawns_monsters_continuously	1	Guarded by a stream of Monsters
ChestExplodeCorpses	Putrifying	1	IncreasedLife	4	chest_display_explodes_corpses,chest_play_warning_sound	1,1	Detonates nearby corpses
ChestCamoflage	Predator's	1	IncreasedLife	1	chest_camoflaged	1	Guarded by camoflaged Monsters
ChestRandomCurse	Whispering	1	IncreasedLife	15	chest_display_cast_random_curse	1	Casts a random Hex Curse Spell when activated
ChestIgnite	Incandescent	1	IncreasedLife	1	chest_display_ignite	1	Ignites you when activated
ChestFireStorm		1	IncreasedLife	10	chest_display_fire_storm,chest_play_warning_sound	1,1	Casts Firestorm
ChestFlameVolatile	Scorched	1	IncreasedLife	1	chest_display_generic,chest_play_warning_sound,chest_item_rarity_+%_final_from_mod	1,1,10..20	Summons Volatile Crags · (10-20)% more Rarity of Contained Items
ChestLightningStorm	Vibrating	1	IncreasedLife	1	chest_display_generic,chest_play_warning_sound,chest_item_rarity_+%_final_from_mod	2,1,10..20	Summons Volatile Crags · (10-20)% more Rarity of Contained Items
ChestChaosProjectiles	Chaotic	1	IncreasedLife	1	chest_display_generic,chest_play_warning_sound,chest_item_rarity_+%_final_from_mod	4,1,10..20	Summons Volatile Crags · (10-20)% more Rarity of Contained Items
ChestPoisonCloud	Contaminated	1	IncreasedLife	8	chest_display_caustic_clouds,chest_play_warning_sound	1,1	Spreads Caustic Ground
ChestExplosion	Unstable	1	IncreasedLife	1	chest_display_explosion,chest_play_warning_sound	1,1	Explodes
EzomyteStrongboxUnstableProjectile	[DNT] Haunted	3	IncreasedLife	1	chest_display_ezomyte,chest_play_warning_sound	1,1	DNT-UNUSED Summons Unstable Spirits
EzomyteStrongboxMushroomWaves	[DNT] Mushroom'd	3	IncreasedLife	1	chest_display_ezomyte,chest_play_warning_sound	2,1	DNT-UNUSED Summons Unstable Spirits
EzomyteStrongboxUndeadArrowBarrage	[DNT] Marked	3	IncreasedLife	1	chest_display_ezomyte,chest_play_warning_sound	3,1	DNT-UNUSED Summons Unstable Spirits
EzomyteStrongboxHurricaneProjectile	[DNT] Rusted	3	IncreasedLife	1	chest_display_ezomyte,chest_play_warning_sound	4,1	DNT-UNUSED Summons Unstable Spirits
EzomyteStrongboxIceSpikes	Frosted	1	IncreasedLife	1	chest_display_ezomyte,chest_play_warning_sound	5,1	DNT-UNUSED Summons Unstable Spirits
EzomyteStrongboxMudBurrowerTail	[DNT] Watched	3	IncreasedLife	1	chest_display_ezomyte,chest_play_warning_sound	6,1	DNT-UNUSED Summons Unstable Spirits
StrongboxDropsConvertedToStr	Marauder's	1	IncreasedLife	1	dropped_items_are_converted_to_str_items	1	Contained non-Unique Armour and Weapons will require Strength
StrongboxDropsConvertedToDex	Ranger's	1	IncreasedLife	1	dropped_items_are_converted_to_dex_items	1	Contained non-Unique Armour and Weapons will require Dexterity
StrongboxDropsConvertedToInt	Witch's	1	IncreasedLife	1	dropped_items_are_converted_to_int_items	1	Contained non-Unique Armour and Weapons will require Intelligence
StrongboxDropsConvertedToStrDex	Duelist's	1	IncreasedLife	1	dropped_items_are_converted_to_strdex_items	1	Contained non-Unique Armour and Weapons will only require Strength or Dexterity
StrongboxDropsConvertedToDexInt	Shadow's	1	IncreasedLife	1	dropped_items_are_converted_to_dexint_items	1	Contained non-Unique Armour and Weapons will only require Dexterity or Intelligence
StrongboxDropsConvertedToIntStr	Templar's	1	IncreasedLife	1	dropped_items_are_converted_to_intstr_items	1	Contained non-Unique Armour and Weapons will only require Strength or Intelligence
StrongboxDropsConvertedToIntMartial	Witch's	1	IncreasedLife	1	dropped_items_are_converted_to_int_items_martial	1	Contained non-Unique Armour and Weapons will require Intelligence
StrongboxDropsConvertedToDexIntMartial	Shadow's	1	IncreasedLife	1	dropped_items_are_converted_to_dexint_items_martial	1	Contained non-Unique Armour and Weapons will only require Dexterity or Intelligence
StrongboxDropsConvertedToIntStrMartial	Templar's	1	IncreasedLife	1	dropped_items_are_converted_to_intstr_items_martial	1	Contained non-Unique Armour and Weapons will only require Strength or Intelligence
StrongboxDropsConvertedToWands	Spellslinger's	1	IncreasedLife	1	dropped_items_are_converted_to_wands	1	Contained non-Unique items are always Wands
StrongboxDropsConvertedToSaves	Sorcerer's	1	IncreasedLife	1	dropped_items_are_converted_to_staves	1	Contained non-Unique items are always Staves
StrongboxDropsConvertedToSceptres	Lich's	1	IncreasedLife	1	dropped_items_are_converted_to_sceptres	1	Contained non-Unique items are always Sceptres
StrongboxDropsConvertedToFocii	Disciple's	1	IncreasedLife	1	dropped_items_are_converted_to_focii	1	Contained non-Unique items are always Foci
StrongboxDropsConvertedToAmulets	Necromancer's	1	IncreasedLife	1	dropped_items_are_converted_to_amulets	1	Contained non-Unique items are always Amulets
StrongboxDropsConvertedToRings	Ritualist's	1	IncreasedLife	1	dropped_items_are_converted_to_rings	1	Contained non-Unique items are always Rings
StrongboxDropsConvertedToJewels	Royal	1	IncreasedLife	1	dropped_items_are_converted_to_jewels	1	Contained Magic and Rare items are always Jewels
StrongboxDropsAdditionalTowerAugmentBreach	Breach	1	IncreasedLife	1	drop_additional_breach_augments	1	Contains an additional Breach Precursor Tablet
StrongboxDropsAdditionalTowerAugmentExpedition	Expedition	1	IncreasedLife	1	drop_additional_expedition_augments	1	Contains an additional Expedition Precursor Tablet
StrongboxDropsAdditionalTowerAugmentDelirium	Delirium	1	IncreasedLife	1	drop_additional_delirium_augments	1	Contains an additional Delirium Precursor Tablet
StrongboxDropsAdditionalTowerAugmentRitual	Ritual	1	IncreasedLife	1	drop_additional_ritual_augments	1	Contains an additional Ritual Precursor Tablet
StrongboxDropsAdditionalTowerAugmentAbyss	Abyss	1	IncreasedLife	1	drop_additional_abyss_augments	1	Contains an additional Abyss Precursor Tablet
StrongboxDropsAdditionalTowerAugmentIncursion	Atziri's Temple	1	IncreasedLife	1	drop_additional_incursion_augments	1	Contains an additional Atziri's Temple Precursor Tablet
StrongboxDropsAdditionalTowerAugmentGeneric	Irradiated	1	IncreasedLife	1	drop_additional_generic_augments	1	Contains an additional Irradiated Precursor Tablet
StrongboxDropsAdditionalTowerAugmentBoss	Overseer's	1	IncreasedLife	1	drop_additional_boss_augments	1	Contains an additional Overseer Precursor Tablet
StrongboxDroppedChaos10%ChanceToUpgrade	Chaos	1	IncreasedLife	1	dropped_chaos_10%_chance_to_upgrade	1	Contained Chaos Orbs have a 10% chance to be upgraded
StrongboxDroppedTransmutation10%ChanceToUpgrade	Transmutation	1	IncreasedLife	1	dropped_transmutation_10%_chance_to_upgrade	1	Contained Orbs of Transmutation have a 10% chance to be upgraded
StrongboxDroppedAugmentation10%ChanceToUpgrade	Augmentation	1	IncreasedLife	1	dropped_augmentation_10%_chance_to_upgrade	1	Contained Orbs of Augmentation have a 10% chance to be upgraded
StrongboxDroppedExalted10%ChanceToUpgrade	Exalted	1	IncreasedLife	1	dropped_exalted_10%_chance_to_upgrade	1	Contained Exalted Orbs have a 10% chance to be upgraded
StrongboxDroppedRegal10%ChanceToUpgrade	Regal	1	IncreasedLife	1	dropped_regal_10%_chance_to_upgrade	1	Contained Regal Orbs have a 10% chance to be upgraded
StrongboxVaseMonsterMod1		1	IncreasedLife	1	vase_monster_add_mod_armour	1	
StrongboxRareMonstersHaveDefensiveMod	Protected	1	IncreasedLife	1	strongbox_rare_monsters_have_defensive_mod	1	Guarding Rare Monsters have an additional Defensive Modifier
StrongboxRareMonstersHaveElementalGroundEffectMod	Walker's	1	IncreasedLife	1	strongbox_rare_monsters_have_elemental_ground_effect_mod	1	Guarding Rare Monsters have an additional Elemental Area Modifier
StrongboxRareMonstersHaveAilmentMod	Exploiter's	1	IncreasedLife	1	strongbox_rare_monsters_have_ailment_mod	1	Guarding Rare Monsters have an additional Ailment Modifier
StrongboxRareMonstersHaveDamageAsExtraMod	Savage	1	IncreasedLife	1	strongbox_rare_monsters_have_damage_as_extra_mod	1	Guarding Rare Monsters have an additional Extra Damage Modifier
StrongboxConstructHas_MonsterStunResilience1		2	IncreasedLife	1	strongbox_construct_has_monsterstunresilience1	1	
StrongboxConstructHas_MonsterImmuneToSlow1		2	IncreasedLife	1	strongbox_construct_has_monsterimmunetoslow1	1	
StrongboxConstructHas_MonsterModReducedCritMulti1		2	IncreasedLife	1	strongbox_construct_has_monstermodreducedcritmulti1	1	
StrongboxConstructHas_MonsterChaosResistance1		2	IncreasedLife	1	strongbox_construct_has_monsterchaosresistance1	1	
StrongboxConstructHas_MonsterExtraArmour1		2	IncreasedLife	1	strongbox_construct_has_monsterextraarmour1	1	
StrongboxConstructHas_MonsterExtraEvasion1		2	IncreasedLife	1	strongbox_construct_has_monsterextraevasion1	1	
StrongboxConstructHas_MonsterExtraEnergyShield1		2	IncreasedLife	1	strongbox_construct_has_monsterextraenergyshield1	1	
StrongboxConstructHas_MonsterFireResistance1		2	IncreasedLife	1	strongbox_construct_has_monsterfireresistance1	1	
StrongboxConstructHas_MonsterColdResistance1		2	IncreasedLife	1	strongbox_construct_has_monstercoldresistance1	1	
StrongboxConstructHas_MonsterLightningResistance1		2	IncreasedLife	1	strongbox_construct_has_monsterlightningresistance1	1	
StrongboxConstructHas_MonsterLifeRegenerationRatePercentage1		2	IncreasedLife	1	strongbox_construct_has_monsterliferegenerationratepercentage1	1	
StrongboxConstructHas_MonsterIncreasedSpeed1		2	IncreasedLife	1	strongbox_construct_has_monsterincreasedspeed1	1	
StrongboxConstructHas_MonsterCriticalStrikeChance1		2	IncreasedLife	1	strongbox_construct_has_monstercriticalstrikechance1	1	
StrongboxConstructHas_MonsterStunDamageIncrease1		2	IncreasedLife	1	strongbox_construct_has_monsterstundamageincrease1	1	
StrongboxConstructHas_MonsterArmourPenetration1		2	IncreasedLife	1	strongbox_construct_has_monsterarmourpenetration1	1	
StrongboxConstructHas_MonsterIncreasedAccuracy1		2	IncreasedLife	1	strongbox_construct_has_monsterincreasedaccuracy1	1	
StrongboxConstructHas_MonsterAdditionalProjectiles1		2	IncreasedLife	1	strongbox_construct_has_monsteradditionalprojectiles1	1	
StrongboxConstructHas_MonsterAreaOfEffect1		2	IncreasedLife	1	strongbox_construct_has_monsterareaofeffect1	1	
StrongboxConstructHas_MonsterBurningGroundOnDeath1		1	IncreasedLife	1	strongbox_construct_has_monsterburninggroundondeath1	1	
StrongboxConstructHas_MonsterChilledGroundOnDeath1		1	IncreasedLife	1	strongbox_construct_has_monsterchilledgroundondeath1	1	
StrongboxConstructHas_MonsterShockedGroundOnDeath1		1	IncreasedLife	1	strongbox_construct_has_monstershockedgroundondeath1	1	
StrongboxConstructHas_MonsterBurningGroundTrail1		2	IncreasedLife	1	strongbox_construct_has_monsterburninggroundtrail1	1	
StrongboxConstructHas_MonsterChilledGroundTrail1		2	IncreasedLife	1	strongbox_construct_has_monsterchilledgroundtrail1	1	
StrongboxConstructHas_MonsterShockedGroundTrail1		2	IncreasedLife	1	strongbox_construct_has_monstershockedgroundtrail1	1	
StrongboxConstructHas_MonsterAlwaysPoison1		2	IncreasedLife	1	strongbox_construct_has_monsteralwayspoison1	1	
StrongboxConstructHas_MonsterAlwaysBleed1		2	IncreasedLife	1	strongbox_construct_has_monsteralwaysbleed1	1	
StrongboxConstructHas_MonsterIgniteChanceIncrease1		2	IncreasedLife	1	strongbox_construct_has_monsterignitechanceincrease1	1	
StrongboxConstructHas_MonsterFreezeDamageIncrease1		2	IncreasedLife	1	strongbox_construct_has_monsterfreezedamageincrease1	1	
StrongboxConstructHas_MonsterShockChanceIncrease1		2	IncreasedLife	1	strongbox_construct_has_monstershockchanceincrease1	1	
StrongboxConstructHas_MonsterDamageGainedAsFire1		2	IncreasedLife	1	strongbox_construct_has_monsterdamagegainedasfire1	1	
StrongboxConstructHas_MonsterDamageGainedAsCold1		2	IncreasedLife	1	strongbox_construct_has_monsterdamagegainedascold1	1	
StrongboxConstructHas_MonsterDamageGainedAsLightning1		2	IncreasedLife	1	strongbox_construct_has_monsterdamagegainedaslightning1	1	
StrongboxConstructHas_MonsterDamageGainedAsChaos1		2	IncreasedLife	1	strongbox_construct_has_monsterdamagegainedaschaos1	1	
StrongboxConstructHas_MonsterFlameBeacons1		1	IncreasedLife	1	strongbox_construct_has_monsterflamebeacons1	1	
StrongboxConstructHas_MonsterFrostBeacons1		1	IncreasedLife	1	strongbox_construct_has_monsterfrostbeacons1	1	
StrongboxConstructHas_MonsterLightningBeacons1		1	IncreasedLife	1	strongbox_construct_has_monsterlightningbeacons1	1	
StrongboxConstructHas_MonsterStrongerMinions1		1	IncreasedLife	1	strongbox_construct_has_monsterstrongerminions1	1	
StrongboxConstructHas_MonsterPhysicalDamageAura1		1	IncreasedLife	1	strongbox_construct_has_monsterphysicaldamageaura1	1	
StrongboxConstructHas_MonsterIncreasedSpeedAura1		1	IncreasedLife	1	strongbox_construct_has_monsterincreasedspeedaura1	1	
StrongboxConstructHas_MonsterEnergyShieldAura1		1	IncreasedLife	1	strongbox_construct_has_monsterenergyshieldaura1	1	
StrongboxConstructHas_MonsterResistanceAura1		1	IncreasedLife	1	strongbox_construct_has_monsterresistanceaura1	1	
StrongboxConstructHas_MonsterTemporalAura1		1	IncreasedLife	1	strongbox_construct_has_monstertemporalaura1	1	
StrongboxConstructHas_MonsterHinderAura1		1	IncreasedLife	1	strongbox_construct_has_monsterhinderaura1	1	
StrongboxConstructHas_MonsterPreventRecoveryAura1		1	IncreasedLife	1	strongbox_construct_has_monsterpreventrecoveryaura1	1	
StrongboxConstructHas_MonsterImmuneAura1		1	IncreasedLife	1	strongbox_construct_has_monsterimmuneaura1	1	
StrongboxConstructHas_MonsterImmuneAura2		1	IncreasedLife	1	strongbox_construct_has_monsterimmuneaura2	1	
StrongboxConstructHas_MonsterManaSiphonAura1		1	IncreasedLife	1	strongbox_construct_has_monstermanasiphonaura1	1	
StrongboxConstructHas_MonsterManaSiphonAura2		1	IncreasedLife	1	strongbox_construct_has_monstermanasiphonaura2	1	
StrongboxConstructHas_MonsterHealingNova1		1	IncreasedLife	1	strongbox_construct_has_monsterhealingnova1	1	
StrongboxConstructHas_MonsterFlaskRemovalAura1		1	IncreasedLife	1	strongbox_construct_has_monsterflaskremovalaura1	1	
StrongboxConstructHas_MonsterRevivesMinions1		1	IncreasedLife	1	strongbox_construct_has_monsterrevivesminions1	1	
StrongboxConstructHas_MonsterMinionsTakeLifeInstead1		1	IncreasedLife	1	strongbox_construct_has_monsterminionstakelifeinstead1	1	
StrongboxConstructHas_MonsterShroudWalker1		1	IncreasedLife	1	strongbox_construct_has_monstershroudwalker1	1	
StrongboxConstructHas_MonsterShroudWalker2		1	IncreasedLife	1	strongbox_construct_has_monstershroudwalker2	1	
StrongboxConstructHas_MonsterPeriodicEnrage1		1	IncreasedLife	1	strongbox_construct_has_monsterperiodicenrage1	1	
StrongboxConstructHas_MonsterPeriodicEnrage2		1	IncreasedLife	1	strongbox_construct_has_monsterperiodicenrage2	1	
StrongboxConstructHas_MonsterCorpseExploder1		1	IncreasedLife	1	strongbox_construct_has_monstercorpseexploder1	1	
StrongboxConstructHas_MonsterLightningMirage1		1	IncreasedLife	1	strongbox_construct_has_monsterlightningmirage1	1	
StrongboxConstructHas_MonsterLightningMirage2		1	IncreasedLife	1	strongbox_construct_has_monsterlightningmirage2	1	
StrongboxConstructHas_MonsterMagmaBarrier1		1	IncreasedLife	1	strongbox_construct_has_monstermagmabarrier1	1	
StrongboxConstructHas_MonsterGlacialPrison1		3	IncreasedLife	1	strongbox_construct_has_monsterglacialprison1	1	
StrongboxConstructHas_MonsterFlamewaller1		1	IncreasedLife	1	strongbox_construct_has_monsterflamewaller1	1	
StrongboxConstructHas_MonsterLightningStorms1		1	IncreasedLife	1	strongbox_construct_has_monsterlightningstorms1	1	
StrongboxConstructHas_MonsterLivingCrystals1		3	IncreasedLife	1	strongbox_construct_has_monsterlivingcrystals1	1	
StrongboxConstructHas_MonsterVolatilePlants1		1	IncreasedLife	1	strongbox_construct_has_monstervolatileplants1	1	
StrongboxConstructHas_MonsterVolatilePlants2		1	IncreasedLife	1	strongbox_construct_has_monstervolatileplants2	1	
StrongboxConstructHas_MonsterVolatileRocks1		1	IncreasedLife	1	strongbox_construct_has_monstervolatilerocks1	1	
StrongboxConstructHas_MonsterVolatileRocks2		1	IncreasedLife	1	strongbox_construct_has_monstervolatilerocks2	1	
StrongboxConstructHas_MonsterProximalTangibility1		1	IncreasedLife	1	strongbox_construct_has_monsterproximaltangibility1	1	
StrongboxRareRobotGuardNoImmediateSpawn		3		1	strongbox_robot_rare_guard_does_not_spawn_immediately	1	
